Sale Date,Item Name,Quantity,Price,Coupon Code,Coupon Details,Discount Amount,Shipping Discount,Order Shipping,Order Sales Tax,Item Total,Currency,Transaction ID,Listing ID,Date Paid,Date Shipped,Order ID,Variations,Order Type,Listings Type,Payment Type,InPerson Discount,InPerson Location,VAT Paid by Buyer,SKU
05/23/22,Constance Billard / St Jude Gossip Merchandise Girl Merchandise TV Show Im Chuck Bass Tee Merch T-shirt xoxo Tee Y2k serena blair waldorf,1,24.95,45432;45432,45432 - % off;45432 - % off,9.98,4.95,0,0,24.95,USD,3025361393,1176877512,05/23/2022,,2483036237,"Colors:Athletic Heather,Sizes:M",online,listing,online_cc,,,0,18950570893597152113
05/23/22,Constance Billard / St Jude Gossip Merchandise Girl Merchandise TV Show Im Chuck Bass Tee Merch T-shirt xoxo Tee Y2k serena blair waldorf,1,24.95,45432;45432,45432 - % off;45432 - % off,0,0,0,0,24.95,USD,3021398262,1176877512,05/23/2022,,2483036237,"Colors:Athletic Heather,Sizes:L",online,listing,online_cc,,,0,13214675866731634437
05/23/22,"That Sounds Like A Horrible Idea What Time?  Insulated Tumbler, 22oz coffee mug terrible thick thigh thin patience nope not today no satan",1,39.95,45432,45432 - % off,7.99,0,4.95,0,39.95,USD,3025247415,1178318450,05/23/2022,,2482952759,Colors:Red,online,listing,online_cc,,,0,28999434981319336298
05/23/22,Heartland Ranch Embroidered Unisex Distressed Trucker Hat t-shirt clothing merchandise gift merch apparel tv show  horses,1,29.95,LIU6G,LIU6G - % off,5.99,0,4.95,0,29.95,USD,3024981787,1203850471,05/23/2022,,2482753867,Colors:Black,online,listing,online_cc,,,0,12475521522707689841
05/23/22,Free Mom Hugs Gay Pride Racerback Tank Top Rainbow Flag T-shirt Parade outfit for women say gay lgbtq apparel nobody should live in a closet,1,24.95,LIU6G,LIU6G - % off,4.99,0,4.95,0,24.95,USD,3020952530,1221684775,05/23/2022,,2482723763,"Colors:Solid Royal,Sizes:XL",online,listing,online_cc,,,0,29522179869157941612
05/23/22,Dwight Schrute Gym For Muscles Office tv show Women's Ideal Racerback Tank Top michael scotts tots jim halpert beats by did stutter t-shirt,1,24.95,LIU6G,LIU6G - % off,4.99,0,10,0,24.95,USD,3024922759,1200139657,05/23/2022,,2482865526,"Colors:Solid Black,Sizes:M",online,listing,online_cc,,,0,24020110236881547426
05/22/22,Warning! The Girls Are Drinking Again Trucker Hat,3,34.95,LIU6G,LIU6G - % off,20.97,4.95,0,0,104.85,USD,3020795682,1222380025,05/22/2022,,2482619677,Colors:Black,online,listing,online_cc,,,0,83653998836669212165
05/22/22,Perkis Power Unisex Jersey Short Sleeve T-shirt Tee / heavyweights / movie funny 90s clothing merchandise apparel gifts for men,1,24.95,LIU6G,LIU6G - % off,4.99,0,4.95,0,24.95,USD,3020790006,1187202997,05/22/2022,,2482757018,"Colors:Black,Sizes:2XL",online,listing,online_cc,,,0,31219651020021607018
05/22/22,Participation Trophy Wife Racerback Tank Top,1,24.95,LIU6G,LIU6G - % off,4.99,0,4.95,0,24.95,USD,3024649657,1207761310,05/22/2022,,2482514829,"Colors:Solid Black,Sizes:2XL",online,listing,online_cc,,,0,32607401506584771736
05/22/22,Camp Kikiwaka Tank Top T-Shirt Merchandise Merch Bunkd Gift TV Show  crystal lake hsm wildcat tee,1,24.95,LIU6G,LIU6G - % off,4.99,0,4.95,0,24.95,USD,3024632487,1199743577,05/22/2022,,2482626692,"Colors:Solid White,Sizes:S",online,listing,online_cc,,,0,12840095031940258081
05/22/22,Free Mom Hugs Gay Pride Flag Parade Racerback Tank Top  trans Lesbian progress bisexual move im legalize free college stuff t-shirt,1,24.95,LIU6G,LIU6G - % off,4.99,0,4.95,0,24.95,USD,3020499092,1185675230,05/22/2022,,2482531690,"Colors:Solid Black,Sizes:2XL",online,listing,online_cc,,,0,16738444041182390387
05/22/22,Pontoon Captain Unisex Twill Hat,1,27.95,LIU6G,LIU6G - % off,5.59,0,4.95,0,27.95,USD,3020485660,1227341843,05/22/2022,,2482521044,Colors:True Navy,online,listing,online_cc,,,0,27241178835216344588
05/22/22,Camp Half Blood Percy Jackson Infant Fine Jersey Bodysuit T-shirt Onsie Baby Merchandise Merch Orange  Jupiter Pajamas creeper,1,24.95,LIU6G,LIU6G - % off,4.99,0,10,0,24.95,USD,3020164524,1224573009,05/22/2022,,2482263710,"Colors:Orange,Sizes:12M",online,listing,online_cc,,,0,52921661606536963854
05/22/22,Heartland Ranch Merchandise Unisex Short Sleeve T-shirt / gift / merch/ apparel tv show / yellowstone gift great hauling co alberta canada,1,24.95,LIU6G;LIU6G,LIU6G - % off;LIU6G - % off,9.98,4.95,0,0,24.95,USD,3024213589,1189309813,05/22/2022,,2482260922,"Colors:Mint,Sizes:2XL",online,listing,online_cc,,,0,15861284393177844341
05/22/22,If Youre Going To Be Salty Bring The Tequila T-shirt ocean made me tank cinco de mayo merch merchandise stay nobody likes a shady beach crew,1,24.95,LIU6G;LIU6G,LIU6G - % off;LIU6G - % off,0,0,0,0,24.95,USD,3024213587,1206606731,05/22/2022,,2482260922,"Colors:Heather Aqua,Sizes:2XL",online,listing,online_cc,,,0,19821962754699372547
05/22/22,Abide Big Lebowski Trucker Hat The Dude Merchandise Merch Gift T-Shirt Bowling Movie kick buttowski pendelton trail shirt sweater flag towel,1,29.95,LIU6G,LIU6G - % off,5.99,0,4.95,0,29.95,USD,3020060668,1189669180,05/22/2022,,2482182914,Colors:Black,online,listing,online_cc,,,0,33458010316440570515
05/22/22,Hawkins Middle School AV Club 1984 Tank Top stranger t-shirt merchandise merch dodgeball movie rested af troop beverly hill demogorgon 11,1,24.95,LIU6G;LIU6G,LIU6G - % off;LIU6G - % off,11.98,4.95,0,0,24.95,USD,3024106643,1207743992,05/22/2022,,2482173380,"Colors:Solid Indigo,Sizes:S",online,listing,online_cc,,,0,20562081359198403248
05/22/22,Hawkins Middle School AV Club 1983 Trucker Hat should i stay or should eggo sweatshirt stranger demogorgon dustin costume dustin t-shirt,1,34.95,LIU6G;LIU6G,LIU6G - % off;LIU6G - % off,0,0,0,0,34.95,USD,3020048226,1207261398,05/22/2022,,2482173380,Colors:Dark Green/Navy,online,listing,online_cc,,,0,11853186232910751331
05/22/22,Beautiful Crazy Embroidered Unisex Trucker Hat yellowstone tv show merchandise country music im your huckleberry resting beach face tank,1,29.95,LIU6G,LIU6G - % off,5.99,0,4.95,0,29.95,USD,3019943988,1203826299,05/22/2022,05/22/2022,2482044861,Colors:Black,online,listing,online_cc,,,0,22471157339391145163
05/22/22,DIllon Panthers Friday Night Lights Unisex T-Shirt / tim riggins jersey Merchandise Merch Tee Football Team Riggins / FNL gift  East Lions,1,24.95,LIU6G,LIU6G - % off,4.99,0,4.95,0,24.95,USD,3024001335,1186644195,05/22/2022,05/23/2022,2482040399,"Colors:White,Sizes:M",online,listing,online_cc,,,0,31787471930613718022
05/22/22,Outer Banks Van Pogue Life Women's Racerback Tank Top y2k supernatural merchandise tvd obx jj maybank merch north carolina t-shirt tee gift,1,24.99,765HHH;765HHH,765HHH - % off;765HHH - % off,10,4.95,0,0,24.99,USD,3023867315,1172784878,05/22/2022,,2481983312,"Colors:Solid White,Sizes:S",online,listing,online_cc,,,0,24450688869029148481
05/22/22,Outer Banks Van Pogue Life Women's Racerback Tank Top y2k supernatural merchandise tvd obx jj maybank merch north carolina t-shirt tee gift,1,24.99,765HHH;765HHH,765HHH - % off;765HHH - % off,0,0,0,0,24.99,USD,3019800228,1172784878,05/22/2022,,2481983312,"Colors:Solid White,Sizes:XS",online,listing,online_cc,,,0,14305611306683562615
05/22/22,Free Mom Hugs LGBTQ Pride Unisex Short Sleeve T-shirt / Gay Flag rainbow / parade tee pro science pro dolly lesbian trans bisexual,1,15.1,765HHH,765HHH - % off,3.02,0,10,0,15.1,USD,3023836495,1187345531,05/22/2022,,2481959990,"Colors:Team Purple,Sizes:M",online,listing,online_cc,,,0,15576091296524508444
05/22/22,1883  Racerback Tank Top Merchandise Yellowstone TV Show Merch Beth Dutton Ranch apparel 6666 series fjb prequel rip 2024 john kacey tee,1,24.95,DSGERG23RFG43,DSGERG23RFG43 - % off,4.99,0,4.95,0,24.95,USD,3023625319,1185717586,05/22/2022,,2481808316,"Colors:Solid White,Sizes:XL",online,listing,online_cc,,,0,33787490598091791101
05/21/22,Zero Pumpkins Kids Softstyle Tee/ The Best Music/Concert Y2K T-Shirt And 90s Gift In Clothing+Apparel,1,19.99,DSGERG23RFG43,DSGERG23RFG43 - % off,4,0,4.95,0,19.99,USD,3019538350,1172780586,05/21/2022,05/23/2022,2481736507,Sizes:M,online,listing,online_cc,,,0,21476695381595591626
